response_id,nps_score,statement_text,sentiment_score,sentiment_category,topics,directional_topics
RESP-001,9,"The platform is excellent for automation",1.0,Very Positive,"{product}","{product is good}"
RESP-001,9,"the team has been very responsive to our needs.",1.0,Very Positive,"{engagement}","{engagement is good}"
RESP-002,3,"Licensing costs are far too high",-1.0,Very Negative,"{licensing, high-price}","{licensing is bad, price is bad}"
RESP-002,3,"the pricing model is not transparent.",-1.0,Very Negative,"{price, transparency}","{price is bad, transparency is bad}"
RESP-002,3,"We are reconsidering our investment.",-1.0,Very Negative,"{monetization}","{monetization is bad}"
RESP-003,7,"Good product overall",1.0,Very Positive,"{product}","{product is good}"
RESP-003,7,"however, the support response times could be much better.",-0.89,Very Negative,"{support}","{support is bad}"
RESP-003,7,"Documentation is lacking.",-1.0,Very Negative,"{support}","{support is bad}"
RESP-004,10,"Amazing platform.",1.0,Very Positive,"{product}","{product is good}"
RESP-004,10,"Robust, scalable",1.0,Very Positive,"{product}","{product is good}"
RESP-004,10,"the customization options are outstanding.",1.0,Very Positive,"{product}","{product is good}"
RESP-004,10,"Would highly recommend.",1.0,Very Positive,"{product}","{product is good}"
RESP-005,5,"The product has potential",1.0,Very Positive,"{product}","{product is good}"
RESP-005,5,"but implementation was difficult and expensive.",-1.0,Very Negative,"{product, high-price}","{product is bad, price is bad}"
RESP-005,5,"Our account manager was helpful though.",1.0,Very Positive,"{engagement}","{engagement is good}"
RESP-006,2,"Terrible experience.",-1.0,Very Negative,"{engagement}","{engagement is bad}"
RESP-006,2,"The system is unreliable",-1.0,Very Negative,"{product}","{product is bad}"
RESP-006,2,"support tickets take weeks to resolve.",-1.0,Very Negative,"{support}","{support is bad}"
RESP-006,2,"Very frustrated.",-1.0,Very Negative,"{}",""
